timestamp,latitude,longitude,distance_m,ping_8.8.8.8,ping_1.1.1.1,ping_9.9.9.9
2025-05-26 14:56:31,52.24192023608981,8.259832990137586,150,91.7,55.0,36.4
2025-05-26 14:56:35,52.241338475202454,8.261747821205933,145,92.3,33.9,36.5
2025-05-26 14:56:39,52.24079622034168,8.263538853512287,136,47.4,35.7,36.4
2025-05-26 14:56:43,52.24028606607009,8.265188468710948,125,30.1,33.1,37.2
2025-05-26 14:56:47,52.23980598949075,8.266753813723103,119,69.8,25.1,26.3
2025-05-26 14:56:51,52.23935768646219,8.268242255301361,112,86.3,33.1,41.8
2025-05-26 14:56:55,52.238940245578725,8.269665000261432,107,67.0,31.6,28.4
2025-05-26 14:56:59,52.23850818903308,8.271046999230077,105,72.0,33.1,29.3
2025-05-26 14:57:03,52.238121216498286,8.272441118182297,104,69.5,44.5,38.4
2025-05-26 14:57:07,52.23772279775232,8.27371438640448,97,80.4,31.2,61.6
2025-05-26 14:57:11,52.237375690104,8.274825664329441,84,75.3,31.7,31.9
2025-05-26 14:57:15,52.237097620686825,8.2757629678651,70,72.6,46.0,38.7
2025-05-26 14:57:19,52.23685343705341,8.276595706016444,62,85.5,31.6,48.3
2025-05-26 14:57:26,52.23657188647661,8.277551067608139,72,234,32.4,30.3
2025-05-26 14:57:30,52.23645957514418,8.277898866183287,26,79.3,32.1,38.0
2025-05-26 14:57:37,52.236355317958605,8.27824296667561,26,79.8,33.9,36.1
2025-05-26 14:58:35,52.23616414453162,8.278832113630486,45,301,29.0,36.8
2025-05-26 14:58:42,52.23581061541664,8.279943572856402,85,85.5,40.3,45.1
2025-05-26 14:58:46,52.23550452318694,8.280904252762234,73,77.3,42.2,43.6
2025-05-26 14:58:50,52.23518608731133,8.282010766170885,83,98.1,30.0,38.0
2025-05-26 14:58:54,52.23483621790428,8.283255905211984,93,86.0,45.5,57.9
2025-05-26 14:58:58,52.23447007198799,8.284556441627592,97,69.0,29.0,41.9
2025-05-26 14:59:01,52.234143606776364,8.285671714310352,84,28.7,34.7,30.4
2025-05-26 14:59:04,52.23378273946824,8.286810908495555,87,29.0,45.5,89.2
2025-05-26 14:59:08,52.23327229991584,8.288344236401686,118,79.8,59.0,52.7
2025-05-26 14:59:12,52.232647836810834,8.289911032360806,127,88.1,46.4,165
2025-05-26 14:59:16,52.23198389325189,8.291463071116222,128,133,52.4,164
2025-05-26 14:59:20,52.231226917973494,8.293060009178834,137,49.5,31.5,166
2025-05-26 14:59:24,52.230352820238096,8.294688830884722,147,40.6,34.3,45.0
2025-05-26 14:59:29,52.22917176590488,8.29666964689474,188,196,39.5,160
2025-05-26 14:59:33,52.22820370512829,8.29830146269513,154,55.5,162,37.1
2025-05-26 14:59:37,52.22723629692418,8.299869804024764,151,71.5,48.0,39.8
2025-05-26 14:59:41,52.22627265990716,8.30147350250547,153,84.9,157,164
2025-05-26 14:59:45,52.22526791979348,8.30312244486722,158,81.9,42.9,48.3
2025-05-26 14:59:49,52.22430560470615,8.304781246309346,155,84.1,165,49.5
2025-05-26 14:59:53,52.22333442298648,8.306438425889414,156,204,49.9,83.5
2025-05-26 14:59:57,52.22236347054408,8.308057725150533,154,43.8,40.4,40.5
2025-05-26 15:00:01,52.22141782785073,8.309716022216023,154,76.5,51.9,162
2025-05-26 15:00:05,52.22048399490947,8.311356203830293,152,198,161,81.4
2025-05-26 15:00:09,52.21952410960094,8.312976661215018,153,84.4,32.7,37.7
2025-05-26 15:00:13,52.218549844068214,8.314601532652304,154,34.5,29.7,36.3
2025-05-26 15:00:16,52.21781699753863,8.315823518572024,116,36.9,40.5,45.2
2025-05-26 15:00:20,52.216857473824845,8.317420073496546,152,100,165,39.1
2025-05-26 15:00:24,52.21589246078397,8.319014289382354,152,79.4,31.0,34.7
2025-05-26 15:00:28,52.21500476678273,8.320534974718807,143,41.1,162,157
2025-05-26 15:00:32,52.21420359574137,8.321934628513302,130,46.2,52.5,54.4
2025-05-26 15:00:36,52.213418176851434,8.323234785025061,124,87.1,43.8,163
2025-05-26 15:00:40,52.21267117822653,8.324487695699746,119,51.5,45.7,52.4
2025-05-26 15:00:45,52.21183185746094,8.326060529814937,142,71.6,35.6,37.2
2025-05-26 15:00:49,52.21122739731005,8.327472765186378,117,805,50.9,112
2025-05-26 15:00:53,52.21073684659621,8.328909189515993,112,198,135,70.6
2025-05-26 15:00:57,52.210332286111175,8.330356926829616,108,120,52.8,61.6
2025-05-26 15:01:01,52.209999253669544,8.331797464528204,104,43.9,33.9,40.4
2025-05-26 15:01:05,52.20981400835395,8.333232314062693,99,76.0,30.2,35.4
2025-05-26 15:01:09,52.20965090809769,8.33462527693872,96,83.9,33.6,42.7
2025-05-26 15:01:13,52.20951150056387,8.335940862078722,90,42.2,30.3,44.1
2025-05-26 15:01:17,52.20944803018424,8.337260197952492,90,83.8,31.5,33.4
2025-05-26 15:01:21,52.20941799319402,8.338435391692732,80,82.2,30.6,34.8
2025-05-26 15:01:25,52.20942939652756,8.339458259043676,69,79.4,42.3,32.7
2025-05-26 15:01:29,52.20943035967828,8.340462557819354,68,87.8,32.8,37.5
2025-05-26 15:01:33,52.20939249113169,8.341291762544808,56,44.2,40.9,48.1
2025-05-26 15:01:37,52.20934127203503,8.34189829909443,41,81.9,30.5,39.7
2025-05-26 15:01:42,52.209323548128175,8.342316500264527,28,73.8,37.6,43.9
2025-05-26 15:02:40,52.209292651302775,8.342689017372289,25,215,41.5,68.1
2025-05-26 15:02:44,52.20926632737049,8.343242720691414,37,39.2,44.1,55.1
2025-05-26 15:02:48,52.209223746461745,8.343978936421871,50,39.7,42.2,79.5
2025-05-26 15:02:52,52.20914760453947,8.344923206496405,64,195,49.4,57.4
2025-05-26 15:02:56,52.20906970535563,8.346027682482946,75,30.9,39.2,53.7
2025-05-26 15:03:00,52.20899467503464,8.34728859110476,86,47.7,35.7,47.2
2025-05-26 15:03:04,52.20895030610842,8.348764898749433,100,34.6,44.3,41.1
2025-05-26 15:03:08,52.20891159687694,8.350381570801105,110,52.4,44.2,107
2025-05-26 15:03:12,52.20882006208231,8.352058017996509,114,85.4,48.0,44.0
2025-05-26 15:03:16,52.20868973940883,8.353813756897452,120,163,31.7,43.6
2025-05-26 15:03:21,52.20854377008696,8.356183035703127,162,81.1,29.6,30.8
2025-05-26 15:03:25,52.20840819851229,8.35818425203838,137,43.9,36.4,37.5
2025-05-26 15:03:29,52.2083028993651,8.360295858987563,144,48.6,26.6,21.1
2025-05-26 15:03:33,52.20819801428924,8.362475793089153,148,38.7,40.3,42.1
2025-05-26 15:03:37,52.208072292086676,8.364691662746393,151,76.6,160,56.6
2025-05-26 15:03:41,52.207923632994174,8.366954023609242,155,73.2,32.3,54.7
2025-05-26 15:03:45,52.20780590148312,8.369249523158262,156,160,64.2,77.6
2025-05-26 15:03:49,52.2076775634118,8.37149191895533,153,252,68.7,72.4
2025-05-26 15:03:53,52.207545213396344,8.373743450723124,154,100,65.1,108
2025-05-26 15:03:57,52.20742325301198,8.375974250972147,152,42.6,60.3,53.4
2025-05-26 15:04:01,52.20725132634484,8.378248844303032,156,160,32.9,52.2
2025-05-26 15:04:05,52.20712450448589,8.38054384750086,157,158,33.5,39.6
2025-05-26 15:04:09,52.20701742420385,8.382822025087806,155,73.0,31.6,39.6
2025-05-26 15:04:13,52.206902972361924,8.385075451970343,154,164,53.0,67.1
2025-05-26 15:04:17,52.2067711064973,8.387322967948203,153,73.4,32.7,52.4
2025-05-26 15:04:21,52.20666711238013,8.389611243796285,156,43.0,55.3,165
2025-05-26 15:04:25,52.20661194804217,8.391853519222783,152,81.4,51.9,58.2
2025-05-26 15:04:29,52.206618974838584,8.39413827195647,155,78.9,43.6,41.7
2025-05-26 15:04:33,52.20666500149931,8.396414794024249,155,198,38.1,30.3
2025-05-26 15:04:37,52.20669345094915,8.398709527701504,156,161,163,72.9
2025-05-26 15:04:41,52.20670306850272,8.401007548123287,156,167,65.5,67.7
2025-05-26 15:04:45,52.206724427029066,8.403255061730382,153,847,42.4,87.0
2025-05-26 15:04:49,52.20676523084593,8.40551452382178,154,161,48.3,51.2
2025-05-26 15:04:53,52.20676817918507,8.407774041493441,153,43.8,47.1,166
2025-05-26 15:04:57,52.20678335953288,8.4100591854641,155,147,43.7,247
2025-05-26 15:05:01,52.206805996697014,8.412309828302503,153,34.3,29.1,30.6
2025-05-26 15:05:04,52.206795472553075,8.414021083121265,116,37.8,31.2,41.4
2025-05-26 15:05:08,52.206819316267676,8.416319153371328,156,71.0,30.4,39.6
2025-05-26 15:05:12,52.206852636276665,8.418583279709068,154,162,55.3,49.4
2025-05-26 15:05:16,52.20688669086543,8.420827648046156,152,48.7,44.3,164
2025-05-26 15:05:20,52.20689592147191,8.42307383274201,153,98.4,34.2,41.0
2025-05-26 15:05:24,52.20689123991725,8.425368393867208,156,44.0,35.4,39.0
2025-05-26 15:05:28,52.2069000601165,8.427636301759607,154,77.1,30.6,46.7
2025-05-26 15:05:32,52.20691991646828,8.42988971291177,153,165,161,72.9
2025-05-26 15:05:36,52.20692440582867,8.43210815363433,151,47.6,42.7,50.2
2025-05-26 15:05:40,52.20683443170763,8.434212592106753,143,61.7,29.2,49.6
2025-05-26 15:05:44,52.206693107012896,8.436212921491329,137,33.5,30.1,44.0
2025-05-26 15:05:48,52.20650644087372,8.4380386658212,126,33.7,22.4,48.8
2025-05-26 15:05:52,52.20625828977766,8.439731461879727,118,83.0,35.9,34.2
2025-05-26 15:05:56,52.20599949391324,8.441316210422452,111,74.0,29.8,165
2025-05-26 15:06:01,52.20566135761868,8.442979722072518,119,86.2,40.2,42.7
2025-05-26 15:06:05,52.20540013618156,8.444209412321635,88,36.1,44.5,164
2025-05-26 15:06:09,52.20513908815488,8.44530879580913,80,85.5,44.9,35.9
2025-05-26 15:06:13,52.20492157025363,8.446338758137724,74,108,56.0,163
2025-05-26 15:06:17,52.20471882860517,8.447292670669926,68,163,166,75.4
2025-05-26 15:06:21,52.20454127937802,8.448122849267651,59,223,160,140
2025-05-26 15:06:25,52.20437622553779,8.448856167303456,53,197,50.1,161
2025-05-26 15:06:29,52.20427096600641,8.449315386562496,33,194,161,116
2025-05-26 15:06:36,52.20420236868452,8.449562940017694,18,81.2,39.7,47.3
2025-05-26 15:07:19,52.20407043320495,8.450345210563626,55,264,209,68.1
2025-05-26 15:07:23,52.20389909266712,8.451156367616614,58,177,50.6,45.9
2025-05-26 15:07:27,52.20369862626688,8.45210015583679,68,45.7,57.8,74.5
2025-05-26 15:07:31,52.20344473178941,8.453215403111024,81,26.5,52.5,51.6
2025-05-26 15:07:35,52.2031890504068,8.454552443347753,95,129,41.3,41.0
2025-05-26 15:07:39,52.20289280412544,8.456003638862214,104,24.0,42.2,45.5
2025-05-26 15:07:43,52.20256962514183,8.457553864065419,111,86.6,126,41.5
2025-05-26 15:07:47,52.20221646540991,8.45920360019631,119,61.3,27.1,27.1
2025-05-26 15:07:51,52.20183253756452,8.460939655979809,125,83.1,45.1,38.7
2025-05-26 15:07:55,52.20143140349037,8.462815983158821,135,201,71.8,357
2025-05-26 15:07:59,52.201020161873984,8.464725885880293,137,56.4,40.2,30.3
2025-05-26 15:08:03,52.20057696787139,8.466742302107857,145,407,58.7,30.6
2025-05-26 15:08:07,52.20013756584573,8.46878747723562,147,26.0,28.7,27.9
2025-05-26 15:08:11,52.19967745894055,8.470900175930506,152,41.1,30.1,35.7
2025-05-26 15:08:15,52.19921485719003,8.473043140432129,154,67.8,21.8,30.7
2025-05-26 15:08:19,52.19875851527805,8.475194136852357,155,72.0,25.6,30.2
2025-05-26 15:08:23,52.19831691403438,8.477348749172817,154,37.8,19.3,22.7
2025-05-26 15:08:27,52.19790945931847,8.479477416308157,151,46.7,19.8,42.7
2025-05-26 15:08:30,52.197631312969754,8.481086359112455,113,29.1,21.0,22.5
2025-05-26 15:08:34,52.19726671755337,8.483348237365448,159,80.1,31.7,30.0
2025-05-26 15:08:38,52.196968484537116,8.4855306124833,152,41.9,37.4,32.9
2025-05-26 15:08:42,52.19669834962373,8.48775712793673,154,160,53.9,43.2
2025-05-26 15:08:46,52.19650234096527,8.490010386467539,155,78.8,21.5,34.2
2025-05-26 15:08:50,52.196343406762395,8.492286987438023,156,206,52.2,77.7
2025-05-26 15:08:54,52.19627596043737,8.494554925924442,154,50.6,44.2,163
2025-05-26 15:08:58,52.19628318356073,8.49689335889664,159,80.1,44.3,161
2025-05-26 15:09:02,52.196280685479024,8.499164959357667,154,45.1,42.0,42.0
2025-05-26 15:09:05,52.19626021117783,8.500874977841773,116,36.9,31.0,43.0
2025-05-26 15:09:08,52.19625536854711,8.50256087297468,114,41.1,20.4,36.1
2025-05-26 15:09:11,52.19624577620848,8.504277275201016,116,29.3,22.5,43.6
2025-05-26 15:09:15,52.19625080701404,8.506514228692216,152,78.3,24.3,38.1
2025-05-26 15:09:19,52.19623385095642,8.50878648708552,154,36.2,28.6,46.2
2025-05-26 15:09:23,52.19620847898222,8.51108157234015,156,74.8,23.8,21.3
2025-05-26 15:09:27,52.19619886219971,8.513365790138169,155,69.2,32.8,49.3
2025-05-26 15:09:31,52.19617873386237,8.51566784812696,156,30.3,33.5,38.9
2025-05-26 15:09:34,52.196157829944795,8.517337968345561,113,32.9,50.5,39.6
2025-05-26 15:09:38,52.196132881115894,8.51958975720847,153,31.0,40.0,155
2025-05-26 15:09:42,52.19610651306235,8.521850929399791,154,33.6,24.8,25.4
2025-05-26 15:09:45,52.196125287630764,8.52357444811692,117,63.2,33.3,36.0
2025-05-26 15:09:49,52.19612411296517,8.52583735467688,154,57.7,39.8,52.6
2025-05-26 15:09:53,52.19612240335332,8.528119662943329,155,72.0,52.2,40.6
2025-05-26 15:09:57,52.196088177032024,8.530386137124736,154,70.2,35.8,37.8
2025-05-26 15:10:01,52.196094485344666,8.532669999344227,155,71.4,20.6,21.3
2025-05-26 15:10:05,52.196094068268955,8.534918861815557,153,133,34.2,42.2
2025-05-26 15:10:09,52.19608235199626,8.537188623153176,154,70.4,26.2,31.2
2025-05-26 15:10:13,52.19606421146057,8.539453732785653,154,68.1,36.1,33.4
2025-05-26 15:10:17,52.1960351245993,8.54171926326685,154,66.4,21.5,24.8
2025-05-26 15:10:21,52.196015838954494,8.543935534081248,151,84.2,32.3,38.1
2025-05-26 15:10:25,52.19606827515539,8.546190755062145,153,32.9,22.3,44.1
2025-05-26 15:10:29,52.196178022877106,8.548395923851613,150,34.8,26.9,37.8
2025-05-26 15:10:33,52.19637278003091,8.550584387655633,150,67.3,162,36.3
2025-05-26 15:10:37,52.19659963105501,8.552687735833848,145,70.1,27.7,40.1
2025-05-26 15:10:41,52.19690056441484,8.55479683237541,147,77.4,40.2,41.9
2025-05-26 15:10:45,52.19731637490892,8.556829885069346,146,36.0,57.1,39.0
2025-05-26 15:10:49,52.19778079591152,8.558854755577666,147,25.4,35.6,40.0
2025-05-26 15:10:53,52.19827264202588,8.560800354125055,143,78.0,35.3,204
2025-05-26 15:10:57,52.19876335065178,8.562559751960713,131,84.2,36.2,58.7
2025-05-26 15:11:01,52.19926039922052,8.564220864760795,125,78.6,21.5,43.4
2025-05-26 15:11:05,52.199705328225996,8.565796002930387,118,29.1,40.2,38.3
2025-05-26 15:11:08,52.20002840914306,8.566947483433033,86,69.2,29.2,40.2
2025-05-26 15:11:12,52.20044843313464,8.56842495890354,110,62.4,27.0,31.7
2025-05-26 15:11:16,52.200785286386505,8.569653395091752,91,67.7,41.3,38.6
2025-05-26 15:11:20,52.20108280876276,8.570743898535426,81,67.5,33.1,45.1
2025-05-26 15:11:24,52.201349937424446,8.571731552137877,73,35.4,39.3,43.8
2025-05-26 15:11:28,52.20160302267854,8.57253179593324,61,93.9,34.7,52.8
2025-05-26 15:11:36,52.20198688525893,8.57363313510643,86,480,36.4,37.8
2025-05-26 15:11:43,52.202158411299415,8.573984910451921,30,78.9,47.7,42.7
2025-05-26 15:12:35,52.202293608496696,8.574775409923586,55,129,51.3,45.9
2025-05-26 15:12:39,52.20250320402834,8.57548243878826,53,70.5,35.8,45.4
2025-05-26 15:12:43,52.20273699608958,8.576332824675454,63,33.9,76.3,43.9
2025-05-26 15:12:47,52.2029735804922,8.577254146118316,68,70.7,38.1,45.2
2025-05-26 15:12:51,52.20321289422543,8.578217343325198,70,82.0,35.5,52.6
2025-05-26 15:12:55,52.20346355918288,8.579120025860515,67,46.1,34.8,31.8
2025-05-26 15:12:59,52.20371658518678,8.58005578739767,69,63.9,51.4,50.5
2025-05-26 15:13:03,52.203965620572,8.581033200957343,72,74.1,30.2,40.1
2025-05-26 15:13:07,52.20421200034997,8.581992638962324,70,86.1,42.2,42.7
2025-05-26 15:13:11,52.204417442202185,8.582972519434257,70,84.8,25.7,161
2025-05-26 15:13:15,52.20458529949648,8.583997078529265,72,33.7,33.1,47.1
2025-05-26 15:13:19,52.204738906040774,8.585146376582262,80,82.5,49.9,39.6
2025-05-26 15:13:23,52.2048293984219,8.586390994205832,85,81.4,25.7,48.0
2025-05-26 15:13:27,52.20484954797829,8.587708731051423,89,86.9,50.8,33.0
