Cell-ID,Cell-LAC/TAC,Netzwerk Mobile Country Code,Netzwerk Mobile Network Code,Lat,Lon,Accuracy,Address
13995539,45142,262,2,52.34292,7.37072,2959,
13995521,45142,262,2,52.30469,7.496672,10932,
13624841,45403,262,2,52.13103,7.36793,1646,
13995540,45142,262,2,52.30765,7.37425,1534,
13995522,45142,262,2,52.30399,7.37349,2424,
52849184,45142,262,2,52.29693,7.39443,835,
52849172,45142,262,2,52.30007,7.38537,877,
52849154,45142,262,2,52.29828,7.38938,1024,
52849172,45142,262,2,52.30007,7.38537,877,
52849154,45142,262,2,52.29828,7.38938,1024,
13995522,45142,262,2,52.30399,7.37349,2424,
51280641,45142,262,2,52.29336,7.40516,856,
51280641,45142,262,2,52.29336,7.40516,856,
51280661,45142,262,2,52.289572,7.407098,857,
51280659,45142,262,2,52.29186,7.40676,869,
51280659,45142,262,2,52.29186,7.40676,869,
51280661,45142,262,2,52.289572,7.407098,857,
52129538,45403,262,2,52.0996,7.3984,1517,
52129538,45403,262,2,52.0996,7.3984,1517,
7702,530,262,2,52.108878,7.394914,6063,
7702,530,262,2,52.108878,7.394914,6063,
51280642,45142,262,2,52.28905,7.41215,906,
51280642,45142,262,2,52.28905,7.41215,906,
12856833,45403,262,2,52.08492,7.43402,12191,
12856833,45403,262,2,52.08492,7.43402,12191,
52129538,45403,262,2,52.0996,7.3984,1517,
52650497,45403,262,2,52.08783,7.41543,890,
51235587,45402,262,2,52.156999,7.543945,1496,
53104643,45142,262,2,52.28477,7.42437,877,
53104643,45142,262,2,52.28477,7.42437,877,
13644033,45403,262,2,52.079526,7.507604,10852,
12964885,45142,262,2,52.27537,7.43607,886,
12964885,45142,262,2,52.27537,7.43607,886,
12964884,45142,262,2,52.27279,7.44119,830,
12964866,45142,262,2,52.26888,7.43708,822,
12964884,45142,262,2,52.27279,7.44119,830,
12964867,45142,262,2,52.27838,7.43138,4771,
12818433,45142,262,2,52.28062,7.44122,6605,
12818433,45142,262,2,52.28062,7.44122,6605,
13621512,45142,262,2,52.27759,7.44009,1831,
12964867,45142,262,2,52.27838,7.43138,4771,
13621514,45142,262,2,52.28371,7.43571,1141,
