Cell-ID,Cell-LAC/TAC,Netzwerk Mobile Country Code,Netzwerk Mobile Network Code,Lat,Lon,Accuracy,Address
12975893,35272,262,3,52.02339,7.59599,866,
12975893,35272,262,3,52.02339,7.59599,866,
13187615,35270,262,3,52.00473,7.63503,908,
12887595,35274,262,3,52.283133,7.631136,1285,
13971458,35274,262,3,52.289189,7.607759,7408,
13035533,35270,262,3,51.95614,7.63564,907,
13009957,35270,262,3,51.958154,7.635998,835,
13009945,35270,262,3,51.957323,7.635268,850,
13009957,35270,262,3,51.958154,7.635998,835,
13035533,35270,262,3,51.95614,7.63564,907,
13009957,35270,262,3,51.958154,7.635998,835,
13009957,35270,262,3,51.958154,7.635998,835,
13009959,35270,262,3,51.96074,7.629813,868,
13009959,35270,262,3,51.96074,7.629813,868,
13184564,35270,262,3,51.94488,7.63418,867,
13184564,35270,262,3,51.94488,7.63418,867,
13187367,35270,262,3,51.9954,7.6375,838,
13187367,35270,262,3,51.9954,7.6375,838,
13187366,35270,262,3,51.9834,7.6395,847,
13187366,35270,262,3,51.9834,7.6395,847,
13187366,35270,262,3,51.9834,7.6395,847,
13187367,35270,262,3,51.9954,7.6375,838,
13186585,35270,262,3,51.973791,7.636926,895,
13187615,35270,262,3,52.00473,7.63503,908,
13186585,35270,262,3,51.973791,7.636926,895,
12887573,35274,262,3,52.303043,7.967129,851,
12887573,35274,262,3,52.303043,7.967129,851,
12887573,35274,262,3,52.303043,7.967129,851,
11016963,14960,262,3,52.27374,7.491664,827,
13185067,35270,262,3,51.97162,7.64442,873,
13185087,35270,262,3,51.96894,7.64474,898,
13185087,35270,262,3,51.96894,7.64474,898,
13185067,35270,262,3,51.97162,7.64442,873,
13185067,35270,262,3,51.97162,7.64442,873,
13185087,35270,262,3,51.96894,7.64474,898,
13185067,35270,262,3,51.97162,7.64442,873,
13186573,35270,262,3,51.97804,7.65754,895,
13186573,35270,262,3,51.97804,7.65754,895,
13186561,35270,262,3,51.973587,7.635125,825,
13186561,35270,262,3,51.973587,7.635125,825,
13186585,35270,262,3,51.973791,7.636926,895,
13187330,35270,262,3,51.972717,7.634255,904,
13187366,35270,262,3,51.9834,7.6395,847,
13186561,35270,262,3,51.973587,7.635125,825,
13187330,35270,262,3,51.972717,7.634255,904,
11016963,14960,262,3,52.27374,7.491664,827,
11016963,14960,262,3,52.27374,7.491664,827,
